Image_name,Train
Patient00216_Plane3_2_of_5_augmented_0,1
Patient00216_Plane3_2_of_5_augmented_1,1
Patient00216_Plane3_2_of_5_augmented_2,1
Patient00216_Plane3_2_of_5_augmented_3,1
Patient00216_Plane3_2_of_5_augmented_4,1
Patient00216_Plane3_2_of_5_augmented_5,1
Patient00305_Plane3_1_of_5_augmented_0,1
Patient00305_Plane3_1_of_5_augmented_1,1
Patient00305_Plane3_1_of_5_augmented_2,1
Patient00305_Plane3_1_of_5_augmented_3,1
Patient00305_Plane3_1_of_5_augmented_4,1
Patient00305_Plane3_1_of_5_augmented_5,1
Patient00630_Plane3_1_of_1_augmented_0,0
Patient00630_Plane3_1_of_1_augmented_1,0
Patient00630_Plane3_1_of_1_augmented_2,0
Patient00630_Plane3_1_of_1_augmented_3,0
Patient00630_Plane3_1_of_1_augmented_4,0
Patient00630_Plane3_1_of_1_augmented_5,0
Patient00644_Plane3_1_of_3_augmented_0,0
Patient00644_Plane3_1_of_3_augmented_1,0
Patient00644_Plane3_1_of_3_augmented_2,0
Patient00644_Plane3_1_of_3_augmented_3,0
Patient00644_Plane3_1_of_3_augmented_4,0
Patient00644_Plane3_1_of_3_augmented_5,0
Patient00652_Plane3_1_of_1_augmented_0,0
Patient00652_Plane3_1_of_1_augmented_1,0
Patient00652_Plane3_1_of_1_augmented_2,0
Patient00652_Plane3_1_of_1_augmented_3,0
Patient00652_Plane3_1_of_1_augmented_4,0
Patient00652_Plane3_1_of_1_augmented_5,0
Patient00661_Plane3_1_of_1_augmented_0,1
Patient00661_Plane3_1_of_1_augmented_1,1
Patient00661_Plane3_1_of_1_augmented_2,1
Patient00661_Plane3_1_of_1_augmented_3,1
Patient00661_Plane3_1_of_1_augmented_4,1
Patient00661_Plane3_1_of_1_augmented_5,1
Patient00700_Plane3_2_of_2_augmented_0,1
Patient00700_Plane3_2_of_2_augmented_1,1
Patient00700_Plane3_2_of_2_augmented_2,1
Patient00700_Plane3_2_of_2_augmented_3,1
Patient00700_Plane3_2_of_2_augmented_4,1
Patient00700_Plane3_2_of_2_augmented_5,1
Patient00702_Plane3_1_of_1_augmented_0,1
Patient00702_Plane3_1_of_1_augmented_1,1
Patient00702_Plane3_1_of_1_augmented_2,1
Patient00702_Plane3_1_of_1_augmented_3,1
Patient00702_Plane3_1_of_1_augmented_4,1
Patient00702_Plane3_1_of_1_augmented_5,1
Patient00714_Plane3_2_of_8_augmented_0,1
Patient00714_Plane3_2_of_8_augmented_1,1
Patient00714_Plane3_2_of_8_augmented_2,1
Patient00714_Plane3_2_of_8_augmented_3,1
Patient00714_Plane3_2_of_8_augmented_4,1
Patient00714_Plane3_2_of_8_augmented_5,1
Patient00714_Plane3_7_of_8_augmented_0,1
Patient00714_Plane3_7_of_8_augmented_1,1
Patient00714_Plane3_7_of_8_augmented_2,1
Patient00714_Plane3_7_of_8_augmented_3,1
Patient00714_Plane3_7_of_8_augmented_4,1
Patient00714_Plane3_7_of_8_augmented_5,1
Patient00715_Plane3_1_of_2_augmented_0,1
Patient00715_Plane3_1_of_2_augmented_1,1
Patient00715_Plane3_1_of_2_augmented_2,1
Patient00715_Plane3_1_of_2_augmented_3,1
Patient00715_Plane3_1_of_2_augmented_4,1
Patient00715_Plane3_1_of_2_augmented_5,1
Patient00737_Plane3_2_of_2_augmented_0,1
Patient00737_Plane3_2_of_2_augmented_1,1
Patient00737_Plane3_2_of_2_augmented_2,1
Patient00737_Plane3_2_of_2_augmented_3,1
Patient00737_Plane3_2_of_2_augmented_4,1
Patient00737_Plane3_2_of_2_augmented_5,1
Patient00738_Plane3_1_of_4_augmented_0,1
Patient00738_Plane3_1_of_4_augmented_1,1
Patient00738_Plane3_1_of_4_augmented_2,1
Patient00738_Plane3_1_of_4_augmented_3,1
Patient00738_Plane3_1_of_4_augmented_4,1
Patient00738_Plane3_1_of_4_augmented_5,1
Patient00738_Plane3_2_of_4_augmented_0,1
Patient00738_Plane3_2_of_4_augmented_1,1
Patient00738_Plane3_2_of_4_augmented_2,1
Patient00738_Plane3_2_of_4_augmented_3,1
Patient00738_Plane3_2_of_4_augmented_4,1
Patient00738_Plane3_2_of_4_augmented_5,1
Patient00742_Plane3_2_of_4_augmented_0,1
Patient00742_Plane3_2_of_4_augmented_1,1
Patient00742_Plane3_2_of_4_augmented_2,1
Patient00742_Plane3_2_of_4_augmented_3,1
Patient00742_Plane3_2_of_4_augmented_4,1
Patient00742_Plane3_2_of_4_augmented_5,1
Patient00746_Plane3_4_of_6_augmented_0,1
Patient00746_Plane3_4_of_6_augmented_1,1
Patient00746_Plane3_4_of_6_augmented_2,1
Patient00746_Plane3_4_of_6_augmented_3,1
Patient00746_Plane3_4_of_6_augmented_4,1
Patient00746_Plane3_4_of_6_augmented_5,1
Patient00749_Plane3_2_of_4_augmented_0,1
Patient00749_Plane3_2_of_4_augmented_1,1
Patient00749_Plane3_2_of_4_augmented_2,1
Patient00749_Plane3_2_of_4_augmented_3,1
Patient00749_Plane3_2_of_4_augmented_4,1
Patient00749_Plane3_2_of_4_augmented_5,1
Patient00751_Plane3_1_of_2_augmented_0,1
Patient00751_Plane3_1_of_2_augmented_1,1
Patient00751_Plane3_1_of_2_augmented_2,1
Patient00751_Plane3_1_of_2_augmented_3,1
Patient00751_Plane3_1_of_2_augmented_4,1
Patient00751_Plane3_1_of_2_augmented_5,1
Patient00756_Plane3_3_of_3_augmented_0,1
Patient00756_Plane3_3_of_3_augmented_1,1
Patient00756_Plane3_3_of_3_augmented_2,1
Patient00756_Plane3_3_of_3_augmented_3,1
Patient00756_Plane3_3_of_3_augmented_4,1
Patient00756_Plane3_3_of_3_augmented_5,1
Patient00759_Plane3_3_of_4_augmented_0,1
Patient00759_Plane3_3_of_4_augmented_1,1
Patient00759_Plane3_3_of_4_augmented_2,1
Patient00759_Plane3_3_of_4_augmented_3,1
Patient00759_Plane3_3_of_4_augmented_4,1
